1 	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	
2 	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.50	0.00	0.50	0.50	
4 	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.25	
8 	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.12	0.00	
16 	0.06	0.00	0.19	0.12	0.19	0.00	0.06	0.00	0.00	0.00	1.00	1.00	1.00	1.00	
32 	0.12	0.16	0.09	0.09	0.06	0.06	0.03	0.00	0.00	1.03	1.03	1.00	1.00	1.00	
64 	0.05	0.09	0.16	0.14	0.12	0.00	0.02	0.17	1.02	1.02	1.00	1.02	1.00	1.00	
128 	0.02	0.03	0.03	0.05	0.00	0.04	0.50	1.01	1.01	1.01	1.00	1.00	1.00	1.00	
256 	0.03	0.02	0.02	0.00	0.00	0.76	1.00	1.01	1.00	1.00	1.00	1.00	1.00	1.00	
512 	0.01	0.01	0.00	0.01	0.80	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	
1024 	0.00	0.00	0.01	0.78	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	
2048 	0.00	0.01	0.82	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	
4096 	0.01	0.81	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	

